id,pedido_id,cliente_id,nota,comentario,created_at,categoria_nps
1,2,32,4,"Gostei bastante, recomendo.",2026-01-03 16:15:01,Promotor
2,7,35,1,"Péssimo atendimento, pizza veio errada.",2026-04-20 19:51:52,Detrator
3,8,16,4,"Pizza ótima, entrega rápida.",2026-04-10 19:11:48,Promotor
4,12,49,5,,2025-12-31 21:01:42,Promotor
5,13,52,1,"Péssimo atendimento, pizza veio errada.",2025-12-29 19:05:14,Detrator
6,14,54,4,Muito boa! Só demorou um pouquinho a mais.,2026-05-07 21:02:48,Promotor
7,15,11,5,,2026-01-24 19:18:18,Promotor
8,16,32,3,"Estava ok, mas a borda veio menos quente.",2026-03-22 19:37:13,Neutro
9,20,10,3,"Mediana, esperava um pouco mais.",2025-12-06 19:57:21,Neutro
10,22,10,4,,2026-01-05 20:30:29,Promotor
11,24,15,5,Voltarei com certeza. Recomendo demais!,2026-03-25 14:00:43,Promotor
12,27,7,4,"Pizza ótima, entrega rápida.",2026-01-06 22:30:24,Promotor
13,30,38,4,Muito boa! Só demorou um pouquinho a mais.,2026-01-23 02:29:03,Promotor
14,32,8,5,Excelente! Pizza chegou quentinha e deliciosa!,2026-05-06 21:31:49,Promotor
15,33,7,4,"Gostei bastante, recomendo.",2026-04-15 22:41:08,Promotor
16,34,28,5,Melhor pizza de Niterói!,2026-05-04 21:01:52,Promotor
17,35,30,5,,2026-01-26 11:34:46,Promotor
18,38,11,5,,2026-04-26 23:59:53,Promotor
19,41,5,5,Melhor pizza de Niterói!,2026-03-26 23:43:05,Promotor
20,43,22,5,,2025-12-07 20:39:58,Promotor
21,45,57,5,Melhor pizza de Niterói!,2026-04-19 21:39:24,Promotor
22,47,15,5,"Perfeito, amei cada detalhe.",2026-04-29 19:30:59,Promotor
23,48,19,3,"Estava ok, mas a borda veio menos quente.",2026-05-18 23:28:53,Neutro
24,51,48,4,,2026-04-17 18:10:22,Promotor
25,53,34,4,Muito boa! Só demorou um pouquinho a mais.,2026-01-12 22:49:27,Promotor
26,54,43,5,,2026-03-25 18:24:51,Promotor
27,55,34,3,"Mediana, esperava um pouco mais.",2026-01-31 19:11:17,Neutro
28,56,12,3,"Estava ok, mas a borda veio menos quente.",2026-05-15 22:11:51,Neutro
29,59,55,4,,2025-12-06 15:19:35,Promotor
30,61,56,5,"Perfeito, amei cada detalhe.",2026-01-28 00:56:48,Promotor
31,62,21,5,Melhor pizza de Niterói!,2026-03-13 21:58:48,Promotor
32,67,59,4,"Gostei bastante, recomendo.",2026-02-21 23:34:46,Promotor
33,69,17,5,"Perfeito, amei cada detalhe.",2026-04-15 19:27:52,Promotor
34,73,20,4,"Gostei bastante, recomendo.",2026-03-14 21:33:16,Promotor
35,74,10,3,Razoável.,2026-02-17 22:47:23,Neutro
36,75,34,4,Muito boa! Só demorou um pouquinho a mais.,2026-02-15 11:18:45,Promotor
37,77,29,4,"Gostei bastante, recomendo.",2026-05-09 23:35:24,Promotor
38,78,13,5,Excelente! Pizza chegou quentinha e deliciosa!,2026-05-10 21:06:02,Promotor
39,79,33,5,Voltarei com certeza. Recomendo demais!,2026-01-16 15:51:46,Promotor
40,80,46,5,Excelente! Pizza chegou quentinha e deliciosa!,2025-12-19 23:10:03,Promotor
41,81,52,4,"Pizza ótima, entrega rápida.",2026-04-18 21:31:35,Promotor
42,86,6,4,Muito boa! Só demorou um pouquinho a mais.,2026-02-08 18:31:30,Promotor
43,87,60,2,"Não gostei muito, esperava mais qualidade.",2026-05-05 16:11:37,Detrator
44,88,7,4,Muito boa! Só demorou um pouquinho a mais.,2026-02-14 14:03:21,Promotor
45,89,18,4,Muito boa! Só demorou um pouquinho a mais.,2025-12-21 19:00:40,Promotor
46,90,23,5,Voltarei com certeza. Recomendo demais!,2026-03-09 09:47:50,Promotor
47,91,16,4,"Gostei bastante, recomendo.",2026-04-10 21:00:39,Promotor
48,92,21,5,Melhor pizza de Niterói!,2025-12-27 00:13:18,Promotor
49,93,19,5,Melhor pizza de Niterói!,2026-05-01 22:29:54,Promotor
50,94,3,5,Melhor pizza de Niterói!,2026-04-25 01:13:57,Promotor
51,95,26,3,,2026-02-19 21:55:44,Neutro
52,96,5,4,Muito boa! Só demorou um pouquinho a mais.,2026-01-18 05:37:07,Promotor
53,97,14,4,,2025-12-31 16:19:51,Promotor
54,100,13,4,,2026-04-28 19:22:32,Promotor
55,102,29,5,Melhor pizza de Niterói!,2026-05-09 00:53:51,Promotor
56,103,18,5,Voltarei com certeza. Recomendo demais!,2026-05-08 21:44:55,Promotor
57,104,60,4,"Gostei bastante, recomendo.",2026-05-10 19:20:20,Promotor
58,107,56,3,,2026-02-11 21:54:04,Neutro
59,108,44,5,"Perfeito, amei cada detalhe.",2026-02-15 22:54:57,Promotor
60,110,50,4,"Gostei bastante, recomendo.",2025-12-05 03:04:00,Promotor
61,111,10,5,Voltarei com certeza. Recomendo demais!,2026-03-05 17:57:40,Promotor
62,112,24,4,Muito boa! Só demorou um pouquinho a mais.,2025-12-16 22:20:17,Promotor
63,113,44,4,"Gostei bastante, recomendo.",2026-04-10 10:59:32,Promotor
64,114,59,3,,2026-04-10 16:37:04,Neutro
65,115,24,5,Excelente! Pizza chegou quentinha e deliciosa!,2025-12-30 17:17:19,Promotor
66,117,24,4,Muito boa! Só demorou um pouquinho a mais.,2026-02-19 00:11:37,Promotor
67,118,9,5,,2026-04-21 21:17:09,Promotor
68,119,14,5,"Perfeito, amei cada detalhe.",2026-05-02 22:27:05,Promotor
69,120,1,5,Melhor pizza de Niterói!,2025-12-03 22:31:08,Promotor
