item_pedido_id,posicao,sabor_id,sabor,categoria
2,2,1,Margherita,Tradicionais
18,1,1,Margherita,Tradicionais
22,1,1,Margherita,Tradicionais
29,2,1,Margherita,Tradicionais
52,2,1,Margherita,Tradicionais
80,2,1,Margherita,Tradicionais
97,2,1,Margherita,Tradicionais
116,1,1,Margherita,Tradicionais
128,2,1,Margherita,Tradicionais
152,2,1,Margherita,Tradicionais
156,1,1,Margherita,Tradicionais
157,1,1,Margherita,Tradicionais
163,3,1,Margherita,Tradicionais
171,1,1,Margherita,Tradicionais
174,3,1,Margherita,Tradicionais
189,3,1,Margherita,Tradicionais
211,1,1,Margherita,Tradicionais
221,1,1,Margherita,Tradicionais
225,2,1,Margherita,Tradicionais
230,2,1,Margherita,Tradicionais
234,2,1,Margherita,Tradicionais
246,3,1,Margherita,Tradicionais
249,2,1,Margherita,Tradicionais
312,3,1,Margherita,Tradicionais
326,1,1,Margherita,Tradicionais
338,2,1,Margherita,Tradicionais
395,1,1,Margherita,Tradicionais
399,1,1,Margherita,Tradicionais
409,1,1,Margherita,Tradicionais
429,2,1,Margherita,Tradicionais
447,1,1,Margherita,Tradicionais
457,1,1,Margherita,Tradicionais
467,1,1,Margherita,Tradicionais
473,1,1,Margherita,Tradicionais
480,1,1,Margherita,Tradicionais
506,1,1,Margherita,Tradicionais
510,1,1,Margherita,Tradicionais
524,1,1,Margherita,Tradicionais
542,1,1,Margherita,Tradicionais
550,1,1,Margherita,Tradicionais
559,2,1,Margherita,Tradicionais
560,1,1,Margherita,Tradicionais
568,1,1,Margherita,Tradicionais
4,1,2,Calabresa,Tradicionais
36,2,2,Calabresa,Tradicionais
38,1,2,Calabresa,Tradicionais
49,1,2,Calabresa,Tradicionais
50,1,2,Calabresa,Tradicionais
61,1,2,Calabresa,Tradicionais
67,1,2,Calabresa,Tradicionais
70,1,2,Calabresa,Tradicionais
88,2,2,Calabresa,Tradicionais
121,1,2,Calabresa,Tradicionais
160,1,2,Calabresa,Tradicionais
174,1,2,Calabresa,Tradicionais
187,1,2,Calabresa,Tradicionais
189,2,2,Calabresa,Tradicionais
209,1,2,Calabresa,Tradicionais
213,2,2,Calabresa,Tradicionais
219,1,2,Calabresa,Tradicionais
223,1,2,Calabresa,Tradicionais
234,1,2,Calabresa,Tradicionais
239,1,2,Calabresa,Tradicionais
240,1,2,Calabresa,Tradicionais
249,1,2,Calabresa,Tradicionais
265,1,2,Calabresa,Tradicionais
267,3,2,Calabresa,Tradicionais
269,3,2,Calabresa,Tradicionais
271,1,2,Calabresa,Tradicionais
300,1,2,Calabresa,Tradicionais
303,3,2,Calabresa,Tradicionais
314,3,2,Calabresa,Tradicionais
316,1,2,Calabresa,Tradicionais
318,1,2,Calabresa,Tradicionais
332,2,2,Calabresa,Tradicionais
345,2,2,Calabresa,Tradicionais
353,2,2,Calabresa,Tradicionais
355,2,2,Calabresa,Tradicionais
381,1,2,Calabresa,Tradicionais
393,1,2,Calabresa,Tradicionais
427,1,2,Calabresa,Tradicionais
444,1,2,Calabresa,Tradicionais
455,1,2,Calabresa,Tradicionais
472,1,2,Calabresa,Tradicionais
473,2,2,Calabresa,Tradicionais
480,2,2,Calabresa,Tradicionais
531,1,2,Calabresa,Tradicionais
548,1,2,Calabresa,Tradicionais
30,2,3,Portuguesa,Tradicionais
32,2,3,Portuguesa,Tradicionais
40,1,3,Portuguesa,Tradicionais
44,2,3,Portuguesa,Tradicionais
50,2,3,Portuguesa,Tradicionais
54,2,3,Portuguesa,Tradicionais
55,1,3,Portuguesa,Tradicionais
64,1,3,Portuguesa,Tradicionais
66,1,3,Portuguesa,Tradicionais
67,2,3,Portuguesa,Tradicionais
80,1,3,Portuguesa,Tradicionais
89,1,3,Portuguesa,Tradicionais
111,2,3,Portuguesa,Tradicionais
127,1,3,Portuguesa,Tradicionais
134,2,3,Portuguesa,Tradicionais
139,2,3,Portuguesa,Tradicionais
140,1,3,Portuguesa,Tradicionais
163,2,3,Portuguesa,Tradicionais
166,2,3,Portuguesa,Tradicionais
186,1,3,Portuguesa,Tradicionais
191,2,3,Portuguesa,Tradicionais
193,1,3,Portuguesa,Tradicionais
214,1,3,Portuguesa,Tradicionais
232,2,3,Portuguesa,Tradicionais
252,1,3,Portuguesa,Tradicionais
264,1,3,Portuguesa,Tradicionais
287,2,3,Portuguesa,Tradicionais
323,1,3,Portuguesa,Tradicionais
330,1,3,Portuguesa,Tradicionais
338,1,3,Portuguesa,Tradicionais
350,1,3,Portuguesa,Tradicionais
361,1,3,Portuguesa,Tradicionais
365,1,3,Portuguesa,Tradicionais
379,1,3,Portuguesa,Tradicionais
386,1,3,Portuguesa,Tradicionais
400,1,3,Portuguesa,Tradicionais
407,2,3,Portuguesa,Tradicionais
418,1,3,Portuguesa,Tradicionais
428,1,3,Portuguesa,Tradicionais
433,2,3,Portuguesa,Tradicionais
442,2,3,Portuguesa,Tradicionais
444,2,3,Portuguesa,Tradicionais
455,2,3,Portuguesa,Tradicionais
