pedido_id,cliente_id,endereco_id,cupom_id,data_pedido,data,ano_mes,ano,mes,semana_iso,dia_semana_num,dia_semana_nome,hora_pedido,subtotal,desconto,total,forma_pagamento,troco_para,usou_cupom,status,foi_cancelado,foi_entregue,nota_avaliacao,nps_categoria,min_espera_producao,min_tempo_producao,min_tempo_entrega,min_ciclo_total,recebido_em,em_producao_em,saiu_entrega_em,entregue_em,cancelado_em,qtd_itens
1,54,73,,2026-02-11 17:49:37,2026-02-11,2026-02,2026,2,7,4,Wednesday,17,61.9,0.0,61.9,pix,,0,saiu_para_entrega,0,0,,sem_avaliacao,3,27,,,2026-02-11 17:49:37,2026-02-11 17:52:37,2026-02-11 18:19:37,,,1
2,32,45,,2026-01-03 14:31:01,2026-01-03,2026-01,2026,1,1,7,Saturday,14,71.4,0.0,71.4,cartao_credito,,0,entregue,0,1,4.0,promotor,9,20,41,70,2026-01-03 14:31:01,2026-01-03 14:40:01,2026-01-03 15:00:01,2026-01-03 15:41:01,,2
3,21,30,,2026-01-26 20:24:17,2026-01-26,2026-01,2026,1,5,2,Monday,20,42.9,0.0,42.9,pix,,0,entregue,0,1,,sem_avaliacao,9,23,41,73,2026-01-26 20:24:17,2026-01-26 20:33:17,2026-01-26 20:56:17,2026-01-26 21:37:17,,1
4,16,22,,2025-12-30 21:39:09,2025-12-30,2025-12,2025,12,53,3,Tuesday,21,64.9,0.0,64.9,dinheiro,74.9,0,entregue,0,1,,sem_avaliacao,10,18,33,61,2025-12-30 21:39:09,2025-12-30 21:49:09,2025-12-30 22:07:09,2025-12-30 22:40:09,,1
5,7,10,,2026-03-13 02:19:36,2026-03-13,2026-03,2026,3,11,6,Friday,2,57.9,0.0,57.9,cartao_debito,,0,entregue,0,1,,sem_avaliacao,9,27,45,81,2026-03-13 02:19:36,2026-03-13 02:28:36,2026-03-13 02:55:36,2026-03-13 03:40:36,,1
6,37,52,,2026-04-22 03:34:27,2026-04-22,2026-04,2026,4,17,4,Wednesday,3,124.8,0.0,124.8,cartao_debito,,0,entregue,0,1,,sem_avaliacao,4,25,15,44,2026-04-22 03:34:27,2026-04-22 03:38:27,2026-04-22 04:03:27,2026-04-22 04:18:27,,2
7,35,49,,2026-04-20 18:27:52,2026-04-20,2026-04,2026,4,17,2,Monday,18,180.2,0.0,180.2,pix,,0,entregue,0,1,1.0,detrator,7,25,42,74,2026-04-20 18:27:52,2026-04-20 18:34:52,2026-04-20 18:59:52,2026-04-20 19:41:52,,4
8,16,22,,2026-04-10 17:35:48,2026-04-10,2026-04,2026,4,15,6,Friday,17,63.9,0.0,63.9,cartao_debito,,0,entregue,0,1,4.0,promotor,10,30,29,69,2026-04-10 17:35:48,2026-04-10 17:45:48,2026-04-10 18:15:48,2026-04-10 18:44:48,,1
9,45,62,1.0,2026-02-17 14:16:14,2026-02-17,2026-02,2026,2,8,3,Tuesday,14,197.03,19.7,177.33,cartao_debito,,1,entregue,0,1,,sem_avaliacao,6,25,18,49,2026-02-17 14:16:14,2026-02-17 14:22:14,2026-02-17 14:47:14,2026-02-17 15:05:14,,4
10,36,51,4.0,2026-01-17 20:08:40,2026-01-17,2026-01,2026,1,3,7,Saturday,20,66.9,13.38,53.52,cartao_credito,,1,cancelado,1,0,,sem_avaliacao,,,,,2026-01-17 20:08:40,,,,2026-01-17 20:10:40,2
