item_id,pedido_id,tipo,quantidade,preco_unitario,subtotal,massa,borda,produto,sabores
1,1,pizza,1,61.9,61.9,Grossa,Catupiry,,Chocolate com Morango + Carne Seca
2,2,pizza,1,55.4,55.4,Fina,Catupiry,,Costela BBQ + Margherita
3,2,produto,1,16.0,16.0,,,Brownie com Sorvete,
4,3,pizza,1,42.9,42.9,Fina,Sem borda,,Calabresa
5,4,pizza,1,64.9,64.9,Fina,Sem borda,,Camarão
6,5,pizza,1,57.9,57.9,Integral,Catupiry,,Frango com Catupiry + Prestígio
7,6,pizza,1,58.9,58.9,Tradicional,Catupiry,,Costela BBQ + Prestígio + Pepperoni
8,6,pizza,1,65.9,65.9,Grossa,Catupiry,,Carne Seca
9,7,pizza,1,58.9,58.9,Fina,Cheddar,,Pepperoni
10,7,pizza,1,49.9,49.9,Grossa,Sem borda,,Prestígio
11,7,pizza,1,53.4,53.4,Tradicional,Cheddar,,Napolitana + Nutella com Banana
12,7,produto,2,9.0,18.0,,,Suco de Laranja 500ml,
13,8,pizza,1,63.9,63.9,Integral,Catupiry,,Frango com Catupiry + Costela BBQ
14,9,pizza,1,61.9,61.9,Grossa,Chocolate,,Pepperoni
15,9,pizza,1,63.23,63.23,Fina,Cream Cheese,,Carne Seca + Camarão + Frango com Catupiry
16,9,pizza,1,47.9,47.9,Tradicional,Chocolate,,Napolitana
17,9,produto,2,12.0,24.0,,,Coca-Cola 2L,
18,10,pizza,1,44.9,44.9,Integral,Sem borda,,Margherita
19,10,produto,1,22.0,22.0,,,Batata Frita Grande,
20,11,pizza,1,55.9,55.9,Integral,Chocolate,,Romeu e Julieta
21,11,pizza,1,67.57,67.57,Integral,Cream Cheese,,Quatro Queijos + Frango com Catupiry + Camarão
22,12,pizza,1,51.4,51.4,Integral,Cream Cheese,,Margherita + Mussarela
23,12,produto,2,9.0,18.0,,,Suco de Laranja 500ml,
24,13,pizza,1,54.9,54.9,Fina,Cheddar,,Chocolate com Morango
25,13,pizza,1,57.57,57.57,Fina,Catupiry,,Carne Seca + Romeu e Julieta + Pepperoni
26,13,produto,2,12.0,24.0,,,Coca-Cola 2L,
27,14,pizza,1,76.9,76.9,Integral,Cream Cheese,,Camarão
28,14,produto,2,22.0,44.0,,,Batata Frita Grande,
29,15,pizza,1,54.57,54.57,Tradicional,Catupiry,,Prestígio + Margherita + Costela BBQ
30,16,pizza,1,53.9,53.9,Fina,Cream Cheese,,Chocolate com Morango + Portuguesa
31,16,produto,1,12.0,12.0,,,Coca-Cola 2L,
32,17,pizza,1,56.9,56.9,Integral,Cream Cheese,,Romeu e Julieta + Portuguesa
33,18,pizza,1,52.4,52.4,Grossa,Cheddar,,Napolitana + Romeu e Julieta
34,18,pizza,1,53.9,53.9,Grossa,Cheddar,,Prestígio + Mussarela + Chocolate com Morango
35,18,produto,1,16.0,16.0,,,Brownie com Sorvete,
36,19,pizza,1,56.9,56.9,Tradicional,Catupiry,,Pepperoni + Calabresa + Carne Seca
37,20,pizza,1,51.9,51.9,Grossa,Sem borda,,Romeu e Julieta + Nutella com Banana
38,20,pizza,1,53.9,53.9,Integral,Chocolate,,Calabresa
39,20,produto,2,9.0,18.0,,,Suco de Laranja 500ml,
40,21,pizza,1,54.9,54.9,Grossa,Cream Cheese,,Portuguesa + Romeu e Julieta
41,21,produto,1,16.0,16.0,,,Brownie com Sorvete,
42,22,pizza,1,62.9,62.9,Tradicional,Cheddar,,Camarão + Frango com Catupiry + Costela BBQ
43,23,pizza,1,53.9,53.9,Fina,Cream Cheese,,Prestígio + Frango com Catupiry
44,24,pizza,1,51.9,51.9,Integral,Sem borda,,Chocolate com Morango + Portuguesa
45,24,produto,1,9.0,9.0,,,Suco de Laranja 500ml,
46,25,pizza,1,49.9,49.9,Integral,Catupiry,,Mussarela
47,25,pizza,1,61.9,61.9,Grossa,Chocolate,,Nutella com Banana
48,25,produto,1,9.0,9.0,,,Suco de Laranja 500ml,
49,26,pizza,1,49.9,49.9,Tradicional,Cream Cheese,,Calabresa
50,26,pizza,1,55.9,55.9,Integral,Cream Cheese,,Calabresa + Portuguesa
51,26,produto,1,12.0,12.0,,,Coca-Cola 2L,
52,27,pizza,1,55.4,55.4,Integral,Cream Cheese,,Frango com Catupiry + Margherita
53,28,pizza,1,62.9,62.9,Integral,Catupiry,,Costela BBQ + Romeu e Julieta
54,28,pizza,1,41.9,41.9,Fina,Sem borda,,Mussarela + Portuguesa
55,29,pizza,1,53.9,53.9,Grossa,Chocolate,,Portuguesa
56,29,produto,1,12.0,12.0,,,Coca-Cola 2L,
57,30,pizza,1,60.9,60.9,Tradicional,Chocolate,,Pepperoni + Carne Seca
58,30,produto,2,12.0,24.0,,,Coca-Cola 2L,
59,31,pizza,1,64.9,64.9,Tradicional,Cheddar,,Costela BBQ
60,31,pizza,1,58.23,58.23,Tradicional,Catupiry,,Carne Seca + Frango com Catupiry + Pepperoni
61,32,pizza,1,53.4,53.4,Integral,Catupiry,,Calabresa + Napolitana
62,32,produto,1,9.0,9.0,,,Suco de Laranja 500ml,
63,33,pizza,1,54.23,54.23,Grossa,Sem borda,,Camarão + Frango com Catupiry + Napolitana
64,33,pizza,1,58.9,58.9,Tradicional,Cream Cheese,,Portuguesa + Costela BBQ
65,33,produto,1,6.0,6.0,,,Coca-Cola Lata 350ml,
66,34,pizza,1,44.9,44.9,Fina,Sem borda,,Portuguesa
67,34,pizza,1,53.9,53.9,Grossa,Cream Cheese,,Calabresa + Portuguesa
68,35,pizza,1,60.9,60.9,Tradicional,Cream Cheese,,Quatro Queijos + Pepperoni
69,35,pizza,1,63.9,63.9,Integral,Catupiry,,Nutella com Banana
70,36,pizza,1,52.9,52.9,Grossa,Cream Cheese,,Calabresa
71,36,produto,1,16.0,16.0,,,Brownie com Sorvete,
72,37,pizza,1,65.9,65.9,Integral,Catupiry,,Camarão + Quatro Queijos + Romeu e Julieta
73,37,produto,1,16.0,16.0,,,Brownie com Sorvete,
74,38,pizza,1,55.9,55.9,Grossa,Chocolate,,Prestígio
75,38,produto,1,18.0,18.0,,,Petit Gateau,
76,39,pizza,1,61.9,61.9,Grossa,Catupiry,,Nutella com Banana
77,40,pizza,1,56.4,56.4,Fina,Cream Cheese,,Napolitana + Carne Seca
78,40,produto,1,22.0,22.0,,,Batata Frita Grande,
79,41,pizza,1,60.23,60.23,Fina,Cheddar,,Camarão + Costela BBQ + Mussarela
80,41,pizza,1,49.4,49.4,Tradicional,Cream Cheese,,Portuguesa + Margherita
81,41,produto,2,18.0,36.0,,,Petit Gateau,
82,42,pizza,1,62.9,62.9,Tradicional,Catupiry,,Carne Seca
83,42,pizza,1,56.9,56.9,Grossa,Cream Cheese,,Prestígio
84,43,pizza,1,54.57,54.57,Grossa,Sem borda,,Costela BBQ + Chocolate com Morango + Prestígio
85,44,pizza,1,57.9,57.9,Fina,Catupiry,,Carne Seca + Prestígio
86,45,pizza,1,61.9,61.9,Integral,Cheddar,,Nutella com Banana + Chocolate com Morango
87,46,pizza,1,58.9,58.9,Integral,Cream Cheese,,Frango com Catupiry
88,46,pizza,1,55.57,55.57,Fina,Cheddar,,Carne Seca + Calabresa + Chocolate com Morango
89,46,pizza,1,51.9,51.9,Tradicional,Cream Cheese,,Portuguesa
90,46,produto,1,28.0,28.0,,,Frango Frito,
91,47,pizza,1,41.9,41.9,Tradicional,Sem borda,,Napolitana
92,48,pizza,1,62.9,62.9,Fina,Chocolate,,Carne Seca + Chocolate com Morango + Camarão
93,49,pizza,1,47.9,47.9,Fina,Catupiry,,Napolitana
94,49,pizza,1,63.9,63.9,Integral,Cream Cheese,,Costela BBQ + Romeu e Julieta
95,49,produto,1,18.0,18.0,,,Petit Gateau,
96,50,pizza,1,40.4,40.4,Fina,Sem borda,,Napolitana + Mussarela
97,51,pizza,1,55.4,55.4,Grossa,Catupiry,,Pepperoni + Margherita
98,51,produto,2,12.0,24.0,,,Coca-Cola 2L,
99,52,pizza,1,58.23,58.23,Tradicional,Catupiry,,Chocolate com Morango + Pepperoni + Quatro Queijos
100,52,produto,1,10.0,10.0,,,Guaraná Antarctica 2L,
101,53,pizza,1,58.9,58.9,Fina,Cream Cheese,,Chocolate com Morango + Quatro Queijos
102,53,produto,1,22.0,22.0,,,Batata Frita Grande,
103,54,pizza,1,43.9,43.9,Integral,Sem borda,,Mussarela
104,54,pizza,1,64.9,64.9,Tradicional,Sem borda,,Camarão
105,54,produto,1,10.0,10.0,,,Guaraná Antarctica 2L,
106,55,pizza,1,57.9,57.9,Tradicional,Cream Cheese,,Chocolate com Morango + Pepperoni
107,55,produto,1,9.0,9.0,,,Suco de Laranja 500ml,
108,56,pizza,1,52.9,52.9,Fina,Cheddar,,Romeu e Julieta + Chocolate com Morango
109,57,pizza,1,54.9,54.9,Tradicional,Catupiry,,Chocolate com Morango
110,58,pizza,1,54.9,54.9,Grossa,Cheddar,,Romeu e Julieta + Prestígio
111,58,pizza,1,51.9,51.9,Fina,Catupiry,,Frango com Catupiry + Portuguesa
112,58,produto,1,4.0,4.0,,,Água Mineral 500ml,
113,59,pizza,1,65.9,65.9,Grossa,Cheddar,,Chocolate com Morango + Camarão
114,59,pizza,1,53.9,53.9,Tradicional,Cream Cheese,,Prestígio
115,59,produto,2,12.0,24.0,,,Coca-Cola 2L,
116,60,pizza,1,45.9,45.9,Fina,Cheddar,,Margherita
117,60,pizza,1,54.9,54.9,Grossa,Cheddar,,Pepperoni + Mussarela
118,60,produto,1,10.0,10.0,,,Guaraná Antarctica 2L,
119,61,pizza,1,57.9,57.9,Integral,Cheddar,,Frango com Catupiry
120,62,pizza,1,50.9,50.9,Grossa,Chocolate,,Mussarela + Romeu e Julieta
121,63,pizza,1,53.9,53.9,Integral,Sem borda,,Calabresa + Quatro Queijos
122,63,pizza,1,75.9,75.9,Integral,Chocolate,,Camarão
123,64,pizza,1,41.9,41.9,Fina,Sem borda,,Napolitana
