id,pedido_id,status_anterior,status_novo,created_at,minutos_desde_status_anterior
1,1,,recebido,2026-02-11 17:49:37,
2,1,recebido,em_producao,2026-02-11 17:52:37,3.0
3,1,em_producao,saiu_para_entrega,2026-02-11 18:19:37,27.0
4,2,,recebido,2026-01-03 14:31:01,
5,2,recebido,em_producao,2026-01-03 14:40:01,9.0
6,2,em_producao,saiu_para_entrega,2026-01-03 15:00:01,20.0
7,2,saiu_para_entrega,entregue,2026-01-03 15:41:01,41.0
8,3,,recebido,2026-01-26 20:24:17,
9,3,recebido,em_producao,2026-01-26 20:33:17,9.0
10,3,em_producao,saiu_para_entrega,2026-01-26 20:56:17,23.0
11,3,saiu_para_entrega,entregue,2026-01-26 21:37:17,41.0
12,4,,recebido,2025-12-30 21:39:09,
13,4,recebido,em_producao,2025-12-30 21:49:09,10.0
14,4,em_producao,saiu_para_entrega,2025-12-30 22:07:09,18.0
15,4,saiu_para_entrega,entregue,2025-12-30 22:40:09,33.0
16,5,,recebido,2026-03-13 02:19:36,
17,5,recebido,em_producao,2026-03-13 02:28:36,9.0
18,5,em_producao,saiu_para_entrega,2026-03-13 02:55:36,27.0
19,5,saiu_para_entrega,entregue,2026-03-13 03:40:36,45.0
20,6,,recebido,2026-04-22 03:34:27,
21,6,recebido,em_producao,2026-04-22 03:38:27,4.0
22,6,em_producao,saiu_para_entrega,2026-04-22 04:03:27,25.0
23,6,saiu_para_entrega,entregue,2026-04-22 04:18:27,15.0
24,7,,recebido,2026-04-20 18:27:52,
25,7,recebido,em_producao,2026-04-20 18:34:52,7.0
26,7,em_producao,saiu_para_entrega,2026-04-20 18:59:52,25.0
27,7,saiu_para_entrega,entregue,2026-04-20 19:41:52,42.0
28,8,,recebido,2026-04-10 17:35:48,
29,8,recebido,em_producao,2026-04-10 17:45:48,10.0
30,8,em_producao,saiu_para_entrega,2026-04-10 18:15:48,30.0
31,8,saiu_para_entrega,entregue,2026-04-10 18:44:48,29.0
32,9,,recebido,2026-02-17 14:16:14,
33,9,recebido,em_producao,2026-02-17 14:22:14,6.0
34,9,em_producao,saiu_para_entrega,2026-02-17 14:47:14,25.0
35,9,saiu_para_entrega,entregue,2026-02-17 15:05:14,18.0
36,10,,recebido,2026-01-17 20:08:40,
37,10,recebido,cancelado,2026-01-17 20:10:40,2.0
38,11,,recebido,2026-03-13 19:03:09,
39,11,recebido,em_producao,2026-03-13 19:10:09,7.0
40,11,em_producao,saiu_para_entrega,2026-03-13 19:27:09,17.0
41,11,saiu_para_entrega,entregue,2026-03-13 19:49:09,22.0
42,12,,recebido,2025-12-31 19:16:42,
43,12,recebido,em_producao,2025-12-31 19:22:42,6.0
44,12,em_producao,saiu_para_entrega,2025-12-31 19:42:42,20.0
45,12,saiu_para_entrega,entregue,2025-12-31 20:14:42,32.0
46,13,,recebido,2025-12-29 17:34:14,
47,13,recebido,em_producao,2025-12-29 17:41:14,7.0
48,13,em_producao,saiu_para_entrega,2025-12-29 18:00:14,19.0
49,13,saiu_para_entrega,entregue,2025-12-29 18:17:14,17.0
50,14,,recebido,2026-05-07 19:01:48,
